node,Don Pedro Lake Flood Control,Don Pedro Lake Flood Control
IFRs,Baseline,natural_flow
Date,,
1990-10-01,0.0,0.0
1990-10-02,3.360544167654321,3.360544167654321
1990-10-03,3.326938718525435,3.326938718525435
1990-10-04,3.293669323962361,3.293669323962361
1990-10-05,3.260732623418696,3.260732623418696
1990-10-06,3.2281252899535082,3.2281252899535082
1990-10-07,3.195844029895282,3.195844029895282
1990-10-08,24.838339267274957,24.838339267274957
1990-10-09,24.62961301542905,24.62961301542905
1990-10-10,24.087829922257242,24.087829922257242
1990-10-11,14.959528472953606,14.959528472953606
1990-10-12,2.336916775768043,2.336916775768043
1990-10-13,2.133867957182804,2.133867957182804
1990-10-14,2.3580182719598195,2.3580182719598195
1990-10-15,2.2447083619614476,2.2447083619614476
1990-10-16,2.0337786759084127,2.0337786759084127
1990-10-17,1.6597056230170724,1.6597056230170724
1990-10-18,1.6606605621697945,1.6606605621697945
1990-10-19,1.3893020015694808,1.3893020015694808
1990-10-20,1.5194253334685281,1.5194253334685281
1990-10-21,1.9309425157499311,1.9309425157499311
1990-10-22,1.7103880215730152,1.7103880215730152
1990-10-23,1.7826607737702334,1.7826607737702334
1990-10-24,1.628246725664008,1.628246725664008
1990-10-25,1.5919408545406588,1.5919408545406588
1990-10-26,1.347158605337283,1.347158605337283
1990-10-27,1.207768902976749,1.207768902976749
1990-10-28,1.6728693097390992,1.6728693097390992
1990-10-29,1.7623879335400559,1.7623879335400559
1990-10-30,1.415721619600121,1.415721619600121
1990-10-31,1.268142072126277,1.268142072126277
1990-11-01,1.1095609864317204,1.1095609864317204
1990-11-02,1.1274618700155246,1.1274618700155246
1990-11-03,1.2367085903310993,1.2367085903310993
1990-11-04,1.4678167318157347,1.4678167318157347
1990-11-05,1.278703479084962,1.278703479084962
1990-11-06,1.6012131556471185,1.6012131556471185
1990-11-07,1.413379156257615,1.413379156257615
1990-11-08,1.3449055553083766,1.3449055553083766
1990-11-09,1.2366386875174122,1.2366386875174122
1990-11-10,1.1352429800756654,1.1352429800756654
1990-11-11,1.406719325632451,1.406719325632451
1990-11-12,1.033319523440282,1.033319523440282
1990-11-13,1.4169289864967116,1.4169289864967116
1990-11-14,1.3198755358235115,1.3198755358235115
1990-11-15,1.2255281028971876,1.2255281028971876
1990-11-16,1.0726368918381404,1.0726368918381404
1990-11-17,0.975274725243323,0.975274725243323
1990-11-18,1.4130627667350326,1.4130627667350326
1990-11-19,1.4144481667168258,1.4144481667168258
1990-11-20,1.3651899807495025,1.3651899807495025
1990-11-21,1.3522500716114731,1.3522500716114731
1990-11-22,1.3129460537335553,1.3129460537335553
1990-11-23,1.1725622448844748,1.1725622448844748
1990-11-24,1.0308857809581857,1.0308857809581857
