node,Exchequer Dam Flood Release,Exchequer Dam Flood Release
IFRs,Baseline,natural_flow
Date,,
1990-10-01,0.0864764859528808,0.0864764859528808
1990-10-02,0.0832717398381494,0.0832717398381494
1990-10-03,0.083164024198131,0.083164024198131
1990-10-04,0.0830606437610237,0.0830606437610237
1990-10-05,0.0829582315988269,0.0829582315988269
1990-10-06,0.0828699487947531,0.0828699487947531
1990-10-07,0.0828073196522281,0.0828073196522281
1990-10-08,0.0827681083332669,0.0827681083332669
1990-10-09,0.0827326497055376,0.0827326497055376
1990-10-10,0.0826867838406287,0.0826867838406287
1990-10-11,0.0826297802113255,0.0826297802113255
1990-10-12,0.0825716672340329,0.0825716672340329
1990-10-13,0.0825106876793303,0.0825106876793303
1990-10-14,0.0824450291981952,0.0824450291981952
1990-10-15,0.0823758005816308,0.0823758005816308
1990-10-16,0.0823079781474616,0.0823079781474616
1990-10-17,0.0866413297660441,0.0866413297660441
1990-10-18,0.0905606566222442,0.0905606566222442
1990-10-19,0.0899463321605421,0.0899463321605421
1990-10-20,0.0822570199293991,0.0822570199293991
1990-10-21,0.0821000922403937,0.0821000922403937
1990-10-22,0.0860046085391201,0.0860046085391201
1990-10-23,0.0820297587674013,0.0820297587674013
1990-10-24,0.0819821495217267,0.0819821495217267
1990-10-25,0.0819259991556851,0.0819259991556851
1990-10-26,0.0818637950258122,0.0818637950258122
1990-10-27,0.0818046908798069,0.0818046908798069
1990-10-28,0.0817510401209428,0.0817510401209428
1990-10-29,0.0817057587340058,0.0817057587340058
1990-10-30,0.1017200474385872,0.1017200474385872
1990-10-31,0.2350357602135645,0.2350357602135645
1990-11-01,0.3265057871574393,0.3265057871574393
1990-11-02,0.105127744337032,0.105127744337032
1990-11-03,0.0854852910078861,0.0854852910078861
1990-11-04,0.0922055122139602,0.0922055122139602
1990-11-05,0.0968261336694441,0.0968261336694441
1990-11-06,0.0926629229147627,0.0926629229147627
1990-11-07,0.0819172083820303,0.0819172083820303
1990-11-08,0.0850469373835013,0.0850469373835013
1990-11-09,0.0903533002664952,0.0903533002664952
1990-11-10,0.0857202168701585,0.0857202168701585
1990-11-11,0.0797509614198476,0.0797509614198476
1990-11-12,0.0802905358463814,0.0802905358463814
1990-11-13,0.0796071508237853,0.0796071508237853
1990-11-14,0.0795798191878769,0.0795798191878769
1990-11-15,0.0795551353535786,0.0795551353535786
1990-11-16,0.0795329864433594,0.0795329864433594
1990-11-17,0.0795110904748353,0.0795110904748353
1990-11-18,0.1098033787876586,0.1098033787876586
1990-11-19,0.3741350514766017,0.3741350514766017
1990-11-20,0.125019413295857,0.125019413295857
1990-11-21,0.0851205431068272,0.0851205431068272
1990-11-22,0.0820462703801464,0.0820462703801464
1990-11-23,0.0968662995521558,0.0968662995521558
